fioriId;RoleName;AppName;ApplicationType;App Launcher Title - Subtitle;Lighthouse;UITechnology;PrimaryODataServiceName;PrimaryODataServiceVersion;AdditionalODataServices;AdditionalODataServicesVersions;Link;Column1
F2192;Strategic Buyer;Manage Activities;Transactional;Manage Procurement-Related Activities - Deprecated;;SAP Fiori elements;C_SUPPLIERACTIVITY_FS_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2192;
F2193;Strategic Buyer;Manage Templates;Transactional;Manage Evaluation Templates - Evaluation;;SAP Fiori elements;C_SUPLREVALTEMPLATEMANAGEST_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2193;
F2194;Strategic Buyer;Manage Questionnaires;Transactional;Manage Evaluation Questionnaires - Evaluation;;SAP Fiori elements;C_SUPLREVALQNAIREMANAGEST_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2194;
F2195;Strategic Buyer;Monitor Tasks;Transactional;Monitor Procurement-Related Tasks - Deprecated;;SAP Fiori elements;C_SUPPLIERACTIVITYTASKMONITOR_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2195;
F2196;Employee - Procurement;Process Tasks;Transactional;Process Procurement-Related Tasks - Deprecated;;SAP Fiori elements;C_SUPPLIERACTIVITYTASKPROCESS_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2196;
F2197;Strategic Buyer;Translate Purchasing Category;Transactional;Translate Purchasing Categories;;SAP Fiori elements;C_PURCHASINGCATEGORYTRANST_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2197;
F2198;Strategic Buyer;Translate Templates;Transactional;Translate Evaluation Templates - Evaluation;;SAP Fiori elements;C_SUPLREVALTEMPLATETRANST_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2198;
F2199;Strategic Buyer;Translate Questionnaire Names;Transactional;Translate Questionnaire Names - Evaluation;;SAP Fiori elements;C_SUPLREVALQNAIRETRANST_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2199;
F2200;Internal Sales Representative;My Sales Overview;Analytical;My Sales Overview;;SAP Fiori elements: Overview Page;SD_F2200_OVP_ISR_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2200;
F2201;Settlement Clerk;Schedule Accruals Reversal - Obsolete Customer Condition Contracts;Transactional;Schedule Accruals Reversal - Obsolete Contracts, Schedule Accruals Reversal - Obsolete Contracts;;SAP Fiori: Generic Job Scheduling Framework;APJ_JOB_MANAGEMENT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2201;
F2202;Settlement Clerk;Schedule Contract Settlement - Customer Contracts;Transactional;Schedule Contract Settlement, Schedule Contract Settlement, Schedule Contract Settlement;;SAP Fiori: Generic Job Scheduling Framework;APJ_JOB_MANAGEMENT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2202;
